Subj,Condition,Bin,Time,ToDistractor,ToTarget,elogit,elogit_wt,Proportion,ot1,ot2,ot3
5,facilitating,11,700,0,28,4.04305126783455,2.03508771929825,1,0.0990147542976674,-0.227155425212127,-0.208810084016051
5,facilitating,12,750,3,26,2.02438176449681,0.323450134770889,0.896551724137931,0.148522131446501,-0.170366568909095,-0.273059340636375
5,facilitating,13,800,4,24,1.69459572077441,0.263038548752834,0.857142857142857,0.198029508595335,-0.090862170084851,-0.289121654791456
5,facilitating,14,850,6,24,1.32687094064909,0.194662480376766,0.8,0.247536885744169,0.0113577712606064,-0.240934712326213
5,facilitating,15,900,5,23,1.45225232891169,0.224371373307544,0.821428571428571,0.297044262893002,0.136293255127276,-0.112436199085566
5,facilitating,16,950,3,21,1.81528996663825,0.332225913621262,0.875,0.346551640041836,0.283944281515159,0.112436199085566
5,facilitating,17,1000,3,21,1.81528996663825,0.332225913621262,0.875,0.39605901719067,0.454310850424255,0.449744796342265
5,neutral,1,200,15,15,0,0.129032258064516,0.5,-0.39605901719067,0.454310850424255,-0.449744796342265
5,neutral,2,250,15,15,0,0.129032258064516,0.5,-0.346551640041836,0.283944281515159,-0.112436199085566
5,neutral,3,300,16,14,-0.129211731480006,0.12957157784744,0.466666666666667,-0.297044262893002,0.136293255127276,0.112436199085566
5,neutral,4,350,19,12,-0.444685821261446,0.131282051282051,0.387096774193548,-0.247536885744169,0.0113577712606063,0.240934712326213
5,neutral,5,400,21,12,-0.542324290825362,0.126511627906977,0.363636363636364,-0.198029508595335,-0.090862170084851,0.289121654791456
5,neutral,6,450,21,12,-0.542324290825362,0.126511627906977,0.363636363636364,-0.148522131446501,-0.170366568909095,0.273059340636375
5,neutral,7,500,21,12,-0.542324290825362,0.126511627906977,0.363636363636364,-0.0990147542976674,-0.227155425212127,0.208810084016052
5,neutral,8,550,16,13,-0.200670695462151,0.134680134680135,0.448275862068966,-0.0495073771488337,-0.261228738993946,0.112436199085566
5,neutral,9,600,12,16,0.27763173659828,0.140606060606061,0.571428571428571,3.29785379996619e-17,-0.272586510254553,0
5,neutral,10,650,9,21,0.816761136527122,0.151774785801714,0.7,0.0495073771488337,-0.261228738993946,-0.112436199085566
5,neutral,11,700,8,24,1.05860695405441,0.158463385354142,0.75,0.0990147542976674,-0.227155425212127,-0.208810084016051
5,neutral,12,750,1,24,2.79320800944252,0.707482993197279,0.96,0.148522131446501,-0.170366568909095,-0.273059340636375
5,neutral,13,800,0,27,4.00733318523247,2.03636363636364,1,0.198029508595335,-0.090862170084851,-0.289121654791456
5,neutral,14,850,0,27,4.00733318523247,2.03636363636364,1,0.247536885744169,0.0113577712606064,-0.240934712326213
5,neutral,15,900,0,27,4.00733318523247,2.03636363636364,1,0.297044262893002,0.136293255127276,-0.112436199085566
5,neutral,16,950,0,27,4.00733318523247,2.03636363636364,1,0.346551640041836,0.283944281515159,0.112436199085566
5,neutral,17,1000,0,26,3.97029191355212,2.0377358490566,1,0.39605901719067,0.454310850424255,0.449744796342265
6,facilitating,1,200,18,24,0.280902385466402,0.0948703805846663,0.571428571428571,-0.39605901719067,0.454310850424255,-0.449744796342265
6,facilitating,2,250,15,24,0.45783309362548,0.10533245556287,0.615384615384615,-0.346551640041836,0.283944281515159,-0.112436199085566
6,facilitating,3,300,15,27,0.573345980747325,0.100879765395894,0.642857142857143,-0.297044262893002,0.136293255127276,0.112436199085566
6,facilitating,4,350,15,26,0.536304709066976,0.102251978088862,0.634146341463415,-0.247536885744169,0.0113577712606063,0.240934712326213
6,facilitating,5,400,20,24,0.178248231406319,0.0895968143354903,0.545454545454545,-0.198029508595335,-0.090862170084851,0.289121654791456
6,facilitating,6,450,21,24,0.130620182417064,0.087327954437589,0.533333333333333,-0.148522131446501,-0.170366568909095,0.273059340636375
6,facilitating,7,500,20,24,0.178248231406319,0.0895968143354903,0.545454545454545,-0.0990147542976674,-0.227155425212127,0.208810084016052
