Subj,Condition,Bin,Time,ToDistractor,ToTarget,elogit,elogit_wt,Proportion
2,filler,21,0,12,15,0.215111379616945,0.144516129032258,0.555555555555556
2,filler,22,50,12,15,0.215111379616945,0.144516129032258,0.555555555555556
2,filler,23,100,12,15,0.215111379616945,0.144516129032258,0.555555555555556
2,filler,24,150,12,15,0.215111379616945,0.144516129032258,0.555555555555556
2,filler,25,200,10,15,0.389464766761723,0.159754224270353,0.6
2,filler,26,250,9,17,0.610909082322973,0.162406015037594,0.653846153846154
2,filler,27,300,9,18,0.666478933477784,0.159317211948791,0.666666666666667
2,filler,28,350,9,18,0.666478933477784,0.159317211948791,0.666666666666667
2,filler,29,400,9,18,0.666478933477784,0.159317211948791,0.666666666666667
2,filler,30,450,7,18,0.902867711542014,0.187387387387387,0.72
2,filler,31,500,6,20,1.14862270924277,0.202626641651032,0.769230769230769
2,filler,32,550,6,21,1.19625075823203,0.200357781753131,0.777777777777778
2,filler,33,600,6,21,1.19625075823203,0.200357781753131,0.777777777777778
2,filler,34,650,7,18,0.902867711542014,0.187387387387387,0.72
2,filler,35,700,9,18,0.666478933477784,0.159317211948791,0.666666666666667
2,filler,36,750,9,17,0.610909082322973,0.162406015037594,0.653846153846154
2,filler,37,800,9,15,0.489548225318706,0.169779286926995,0.625
2,filler,38,850,9,15,0.489548225318706,0.169779286926995,0.625
2,filler,39,900,9,15,0.489548225318706,0.169779286926995,0.625
2,filler,40,950,9,15,0.489548225318706,0.169779286926995,0.625
2,filler,41,1000,9,15,0.489548225318706,0.169779286926995,0.625
2,filler,42,1050,9,15,0.489548225318706,0.169779286926995,0.625
2,filler,43,1100,8,15,0.60077386042893,0.182163187855787,0.652173913043478
2,filler,44,1150,4,17,1.35812348415319,0.279365079365079,0.80952380952381
2,filler,45,1200,3,21,1.81528996663825,0.332225913621262,0.875
2,filler,46,1250,3,21,1.81528996663825,0.332225913621262,0.875
2,filler,47,1300,3,20,1.76766191764899,0.334494773519164,0.869565217391304
2,filler,48,1350,4,18,1.41369333530801,0.276276276276276,0.818181818181818
2,filler,49,1400,3,20,1.76766191764899,0.334494773519164,0.869565217391304
2,filler,50,1450,3,21,1.81528996663825,0.332225913621262,0.875
2,filler,51,1500,3,21,1.81528996663825,0.332225913621262,0.875
2,filler,52,1550,3,21,1.81528996663825,0.332225913621262,0.875
2,filler,53,1600,3,21,1.81528996663825,0.332225913621262,0.875
2,filler,54,1650,3,23,1.90423745265475,0.328267477203647,0.884615384615385
2,filler,55,1700,3,24,1.94591014905531,0.326530612244898,0.888888888888889
